Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
237,92,71,247,6,853,695,28,2.862.704.352
313,0,113,178,8,1002,689,28,3.680.422.888
155,183,0,193,9,1047,697,28,1.828.490.352
146,230,0,,3,827,872,28,330.603.742
296,0,107,221,11,819,778,28,31.419.421.319.999.900
133,210,0,196,3,949,795,28,31.026.419.999.999.900
313,145,0,178,8,867,824,28,4.438.846.488
152,0,112,184,8,992,816,28,1.217.614.616
153,145,113,178,8,1002,689,28,2.555.887.532
140,133,103,,7,916,753,28,364.388.066
149,236,0,176,13,847,893,28,32.956.952.799.999.900
300,0,120,212,,878,728,28,2.383.518.532
153,145,113,178,8,867,824,28,2.622.766.704
148,0,137,158,16,1002,830,28,1.795.395.504
326,0,138,199,11,801,792,28,40.679.083.999.999.900
153,145,0,178,8,1000,822,28,1.900.885.332
262,111,86,195,5,895,733,28,337.153.764
158,0,195,220,11,898,713,28,853.571.288
151,0,185,167,16,1074,678,28,1.345.857.152
273,0,90,199,11,931,762,28,3.223.989.776
149,118,92,183,7,953,780,28,2.351.802.636
143,169,143,,8,967,643,28,2.972.331.036
260,101,78,171,,936,763,28,4.977.327.244
313,161,0,178,10,917,759,28,5.244.154.456
284,120,0,168,7,970,794,28,4.093.419.012
336,0,0,182,3,986,817,28,4.486.420.332
145,0,134,181,11,979,812,28,1.319.657.064
150,237,0,174,12,1069,675,28,37.431.652.039.999.900
144,170,133,192,8,814,805,28,2.986.810.032
331,170,0,195,8,811,802,28,5.661.287.436
155,0,143,193,9,1047,697,28,1.245.883.132
155,183,0,193,9,877,868,28,23.786.922
135,0,166,180,10,961,805,28,1.329.309.728
266,112,87,,10,910,745,28,39.417.342.919.999.900
314,145,113,179,8,869,690,28,462.293.658
313,145,0,127,8,1000,822,28,4.451.946.532
146,173,0,182,3,986,817,28,2.373.865.868
144,136,106,178,,941,774,28,2.614.492.992
148,0,182,181,15,839,884,28,15.520.104.759.999.900
277,117,91,191,7,946,666,28,435.748.832
298,0,107,164,13,953,784,28,3.585.964.676
313,145,0,178,8,1002,689,28,4.105.140.104
155,184,143,194,9,880,699,28,2.898.557.104
289,134,0,195,6,924,760,28,4.624.315.532
148,175,0,171,2,1000,828,28,2.691.714.304
145,0,179,,8,824,869,28,1.053.519.328
313,0,0,178,8,1000,822,28,250.969.264
136,162,126,172,10,923,764,28,2.906.830.816
155,0,143,193,9,877,868,28,9.735.401.119.999.990
255,99,77,189,6,919,749,28,3.379.811.352
162,207,172,216,10,822,638,28,3.984.481.804
136,196,98,199,6,847,783,28,2.696.540.636
164,163,128,197,8,961,641,28,27.234.302
162,214,164,202,10,820,680,,30.647.208.199.999.900
157,214,152,200,9,819,704,28,3.305.347.944
149,153,194,192,8,935,623,28,24.579.819.399.999.900
135,105,193,196,6,965,643,28,2.191.154.728
159,209,161,201,7,848,669,28,30.881.630.039.999.900
144,15,195,176,,1021,709,28,15.340.841
154,174,185,228,7,845,612,28,243.385.028
167,187,195,,7,898,636,28,238.903.434
184,86,190,,6,923,623,28,2.293.197.176
156,178,187,,7,854,614,28,2.941.304.616
236.9,91.7,71.5,,6,852.9,695.4,28,28.629.801.423.999.900
313.3,0,113,178.5,8,1001.9,688.7,28,36.804.918.356
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.287.661.424
145.9,230.5,0,202.5,3.4,827,871.8,28,32.720.462.532
296,0,106.7,221.4,10.5,819.2,778.4,28,31.420.110.796.000.000
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.937.997.196
313.3,145,0,178.5,8,867.2,824,28,40.925.226.931.999.900
151.6,0,111.9,184.4,7.9,992,815.9,28,12.180.972.492
153.1,145,113,178.5,8,1001.9,688.7,28,25.559.564.796
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.443.632.932
149.5,236,0,175.8,12.6,846.8,892.7,28,3.296.384.756
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.835.874.796
153.1,145,113,178.5,8,867.2,824,28,26.233.182.848.000.000
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.959.470.848.000.000
326.5,0,137.9,199,10.8,801.1,792.5,28,38.630.650.804
152.7,144.7,0,178.1,8,999.7,822.2,28,19.009.542.795.999.900
261.9,110.5,86.1,195.4,5,895.2,732.6,28,3.371.882.378
158.4,0,194.9,219.7,11,897.7,712.9,28,8.536.402.356
150.7,0,185.3,166.7,,1074.5,678,28,13.461.329.424
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.245.413.568.000.000
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.524.231.644
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.726.068.263.999.900
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,4.977.327.244
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.446.370.892
284,119.7,0,168.3,7.2,970.4,794.2,28,40.934.879.596
336.5,0,0,181.9,3.4,985.8,816.8,28,44.868.340.176.000.000
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.202.086.448
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.431.652.039.999.900
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.870.858.223.999.900
330.5,169.6,0,194.9,8.1,811,802.3,28,56.619.079.643.999.900
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.459.520.796
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.786.922
134.7,0,165.7,180.2,10,961,804.9,28,13.293.786.756
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.421.479.776
314,145.3,113.2,178.9,8,869.1,690.2,28,46.234.192.132
312.7,144.7,0,127.3,8,999.7,822.2,28,44.523.602.176.000.000
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.744.174.488
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.147.687.824
148.1,0,182.1,181.4,15,838.9,884.3,,15.526.310.044
277,116.8,91,190.6,7,946.5,665.6,28,4.357.833.058
298.1,0,107.5,163.6,12.8,953.2,784,28,3.586.585.204.399.990
313.3,145,0,178.5,8,1001.9,688.7,28,41.053.469.468
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.991.086.848.000.000
289,133.7,0,194.9,5.5,924.1,760.1,28,46.247.292.176
147.8,175.1,0,171.2,,1000,828.5,28,26.922.658.848
145.4,0,178.9,201.7,7.8,824,868.7,28,10.535.882.756
312.7,0,0,178.1,8,999.7,822.2,28,2.510.382.116
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.073.134.491.999.900
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.738.159.024
255.3,98.8,77,188.6,6.5,919,749.3,28,33.798.802.996
272.8,105.1,81.8,209.7,9,904,679.7,28,37.171.030.112
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.762.260.768
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.503.987.012
146.5,114.6,89.3,201.9,8.8,860,829.5,28,1.998.790.924
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.349.864.196
309.9,142.8,111.2,167.8,,913.9,651.2,,38.215.586.251.999.900
143.6,0,174.9,158.4,17.9,942.7,844.5,28,1.542.357.812
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.419.591.196
374.3,0,0,190.2,6.7,1013.2,730.4,28,39.056.057.496
158.6,148.9,116,175.1,15,953.3,719.7,28,27.681.082.448
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.859.916.531.999.900
310,142.8,0,167.9,10,914.3,804,28,45.304.778.483.999.900
304.8,0,99.6,196,9.8,959.4,705.2,28,3.012.320.644
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.569.747.031.999.900
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,4.461.185.510.399.990
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.524.711.356
321.3,164.2,0,190.5,4.6,870,774,28,5.721.823.428.799.990
366,187,0,191.3,6.6,824.3,756.9,28,65.909.079.268
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.826.961.643.999.900
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.399.596.392
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.033.934.256
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.363.393.916
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.314.271.244
298.1,0,107,186.4,6.1,879,815.2,,426.440.906
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.062.002.979.999.900
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.798.273.423.999.900
325.6,166.4,0,174,8.9,881.6,790,28,6.123.581.094
355.9,0,141.6,193.3,11,801.4,778.4,28,408.686.899
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.306.517.131.999.900
322.5,148.6,0,185.8,8.5,951,709.5,28,52.426.376.088
164.2,0,200.1,181.2,12.6,849.3,846,28,15.091.250.688
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.461.039.708
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.265.488.323.999.900
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.225.328.839.999.900
288.4,121,0,177.4,7,907.9,829.5,28,4.214.008.364.399.990
298.2,0,107,209.7,11.1,879.6,744.2,,31.875.164.956.000.000
264.5,111,86.5,195.5,5.9,832.6,790.4,,41.542.307.951.999.900
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.455.953.576
166,259.7,0,183.2,12.7,858.8,826.8,28,37.917.043.144
276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.284.354.003.999.900
322.2,0,115.6,196,10.4,817.9,813.4,28,31.178.794.196.000.000
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.696.600.644
159.1,186.7,0,175.6,11.3,989.6,788.9,,32.768.036.376.000.000
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.401.235.144
